transactionId,senderBankId,receiverBankId,transactionDateTime,transactionAmount,transactionCurrency
f721f775-1498-40f1-97d0-3b59443ef20e,ES45 3335 1850 3953 6356 9983,KZ68 823Y PMYU AXQH T6ZI,2023-02-27T18:12:03Z,1501,Dinar
0d4dda6c-f992-4604-8e0b-eea8aba13ca6,FR46 5443 5247 63C1 5ZMH YQ2E V48,SM29 Z538 4488 542Y PFOZ FUMU MFO,2023-11-05T07:38:05Z,7806,Kuna
5be71403-b36b-415c-9fce-49d1407032eb,LU03 489U H3LB F2UL RKMS,GL34 8578 9841 6235 16,2023-11-01T00:00:48Z,976,Euro
e7404306-1f39-420e-9514-bc15a01ba15c,FR80 0057 9048 98YZ EAQY MFH3 H46,PK11 EFOG 0IDB XEG0 MF2G WXRJ,2023-01-06T22:04:00Z,3546,Rupiah
d49629b1-8cc6-4ae2-916c-98d50e6ebfe9,CR47 4951 2026 3003 8355 0,DO74 NEHM 3521 1872 2368 1837 8045,2023-07-01T11:02:06Z,4940,Yuan Renminbi
96f684c0-925f-4b73-991a-37224c51fc2f,CZ63 4207 6716 9668 4078 3827,FR08 9689 7398 232X 5GVY R9EJ M62,2023-06-15T19:06:50Z,8944,Hryvnia
aa4d06bf-3dbe-42f7-a9e6-5a9edeb5d6ce,CY69 2425 7557 QLLR 9SU6 BEB5 RFRT,PK62 PRFU JHHR EYQ4 HD5Z NVP7,2023-08-27T01:52:44Z,4498,Dollar
390a8188-e8cb-49bb-90f2-8ef9270f21b0,LU53 362S KW2A WLTG A3ZP,DK50 7895 8473 0703 64,2022-11-29T01:15:30Z,3824,Hryvnia
e102ac2e-61b1-4980-a7f7-d3ce861d5880,LB74 1677 KESR 3KYJ HGY7 PIH6 T4SB,RO08 TAHR LW6H 03IG 6SSX 8HPG,2022-12-11T20:49:34Z,3650,Rupiah
bdca3d45-1ffe-46ba-b6eb-b346d0aab701,AZ93 XQTM OZHP O4US MT5O KVLQ 3JDQ,DE67 1729 6924 2182 7847 77,2023-06-27T15:47:00Z,4110,Baht
693930de-a1db-47e2-a32f-dc273eaa5b2b,FR51 0170 9367 58LG E0UA TS72 H89,MD38 GKZP GICP RL7Q IZBN UJYM,2023-10-11T17:26:13Z,7350,Rupiah
8a24df6e-2009-4a1e-9f6c-2939e56f4af7,PT14 9724 1498 3280 0779 8751 0,HU93 7167 5139 8812 3648 3652 0971,2023-10-12T11:23:55Z,1655,Sol
11ba99c6-a829-4ef9-8a6a-1401e3378ddd,GB89 XKZB 5197 8785 8570 59,RO87 AJMH WRPB WIGX T0CV 2M6O,2023-03-11T15:44:13Z,5130,Yuan Renminbi
a4234b12-2a95-4d16-a25a-42050ac15755,FR17 4484 8809 25BR PSUB UEQD O01,GR52 0855 970Y 64I0 1LIN FWXK WAD,2023-06-26T21:50:29Z,1365,Euro
5331a2bc-0e6c-4540-aa8b-39d7d0609667,KZ67 738F I8SA O6XX NIFP,FR75 9128 5236 87B9 46BR YXHZ X38,2023-10-17T16:05:22Z,4864,Dinar
b81abe60-fdb0-4a20-9662-29dcfe5c6c72,BG96 ECBW 2635 28EE W5JB CH,ES13 4648 1936 8261 3578 9083,2023-08-18T20:05:09Z,3872,Peso
7750fb30-be42-46b9-b215-a3ee03542427,BE82 1789 6882 1199,AT73 6440 6474 2417 7549,2023-06-16T21:38:07Z,516,Zloty
e9454e3e-0bcd-461b-9b83-81ebc9c2cc6b,FR47 7734 3137 10AS KAJZ AQTM A86,FR48 4075 3351 30JP Y4FB SM2E M22,2023-06-14T17:19:15Z,7810,Euro
b9494398-2b59-4408-bbfd-dacbd6ddee25,HR23 9940 3427 7729 0911 1,EE71 3470 1728 2216 9758,2023-01-05T11:48:06Z,9712,Franc
f2a6f17f-45af-4fef-8d0c-41bbe3f8fe46,GB79 YAYB 4042 9197 1555 25,IS17 6760 9630 5314 4863 8745 66,2022-12-20T05:14:40Z,2345,Rupiah
267879b6-c282-4910-a675-02eb1fe0fbaa,FR72 1135 8272 26RE X2H7 QS01 D98,SI11 1811 2313 6044 823,2023-05-18T14:24:56Z,8016,Yuan Renminbi
1658b2fb-1839-487b-a7f3-a329b63c3be3,SK03 1824 2151 7579 7804 3315,GL77 3911 0587 4336 32,2023-05-31T19:29:48Z,9728,Yuan Renminbi
4f6e5ff2-7211-40f4-9b00-d435d4f2898f,LU97 641L WLQE Z8MR BSTG,FR02 3587 3558 19SF DXNO ID92 G86,2023-08-10T01:43:17Z,2151,Peso
b047f206-6642-41d9-9ce9-dc8f8531ff8e,MT90 HNVG 8493 7XKN P7AH YVVQ UYZC KXG,PK47 TABW INHG PQAO TNND ILD2,2023-08-31T06:14:26Z,6247,Lempira
6f6f6f8a-de42-4ec4-aeba-8eeadfac418e,PL39 6242 1528 7389 7884 7739 2124,NL72 TGYN 4251 7626 17,2023-04-24T08:03:11Z,8507,Zloty
3c8923f0-a6eb-414f-b09a-41f10aa2aa74,IL92 6658 7725 6578 7762 377,FR02 6376 2327 15EF TKL5 GRF4 C29,2023-10-31T03:02:38Z,1108,Boliviano
d5701093-74df-4434-a030-ce4e06c467ab,FR55 1823 2297 06ZC YDY3 4YD7 708,FR89 8533 8937 34Q4 DU6R BONH O83,2023-06-12T22:46:56Z,1281,Koruna
698aefae-e0e0-4ad7-9bb0-64663420b324,AD04 2001 1235 DML8 XXYX ZEKA,FR49 6772 8031 10FQ OFBC MKQT W46,2023-11-21T18:45:54Z,7783,Ruble
da3be796-42c8-4c41-abe3-3b0fae9fd04c,SK49 8637 9291 6998 3350 2711,SM44 D843 1359 161N K0FG YUB6 SQI,2023-02-22T05:57:39Z,327,Euro
9c4fbd78-a631-47f6-9dba-5b4c0b1f73f9,NO50 0316 4837 831,KZ04 505E MRIR TLQG BSDY,2022-11-23T11:21:30Z,173,Yuan Renminbi
